song_id,title,hidden,author,themes,ccli_number,last_scheduled_at,last_used_at,recent_uses_found,recent_use_1,recent_use_2,recent_use_3,days_since_last_use,usage_band,recency_band,bpm,length_seconds,meter,arrangement_name
12495247,Bread Of The World In Mercy Broken,False,Reginald Heber and John S.B. Hodges,Communion,100435,2026-02-22T10:00:00Z,2026-02-22T10:00:00Z,3,2026-02-22T10:00:00Z,2022-08-14T08:45:00Z,2016-07-10T10:00:00Z,5,Frequent recently,0-30d,,300,3/4,Default Arrangement
25361893,Holy Forever,False,"Brian Johnson, Chris Tomlin, Jason Ingram, Jenn Johnson, and Phil Wickham","Exaltation, Holiness, Lamb Of God, Praise, Singing, Worship",7201044,2026-02-22T10:00:00Z,2026-02-22T10:00:00Z,3,2026-02-22T10:00:00Z,2025-10-26T10:00:00Z,2024-12-22T10:00:00Z,5,Frequent recently,0-30d,,300,4/4,Default Arrangement
21293539,I Have Decided To Follow Jesus,False,,"Dedication, Consecration, Declaration",24494,2026-02-22T10:00:00Z,2026-02-22T10:00:00Z,3,2026-02-22T10:00:00Z,2025-06-08T10:00:00Z,2025-03-09T10:00:00Z,5,Frequent recently,0-30d,,240,4/4,Default Arrangement
22354533,I Speak Jesus,False,"Abby Benton, Carlene Prince, Dustin Smith, Jesse Reeves, Kristen Dutton, and Raina Pratt",,7136201,2026-02-22T10:00:00Z,2026-02-22T10:00:00Z,3,2026-02-22T10:00:00Z,2025-08-10T10:00:00Z,2025-07-20T10:00:00Z,5,Frequent recently,0-30d,,300,4/4,Default Arrangement
26771566,The Jesus Way,False,Jonathan Smith and Phil Wickham,"Blessing, Forgiveness, Grace, Hope, Praise, Surrender, Worship",7217888,2026-02-22T10:00:00Z,2026-02-22T10:00:00Z,3,2026-02-22T10:00:00Z,2026-01-18T10:00:00Z,2025-06-08T10:00:00Z,5,Frequent recently,0-30d,,300,4/4,Default Arrangement
21896668,You Are Good,False,Israel Houghton,"Goodness, Life, , Mercy, God's Attributes, Faithfulness, Devotion, Worship, Declaration",3383788,2026-02-22T10:00:00Z,2026-02-22T10:00:00Z,3,2026-02-22T10:00:00Z,2025-09-13T12:55:00Z,2025-03-02T10:00:00Z,5,Frequent recently,0-30d,,300,,Default Arrangement
27459045,See A Victory,False,"Ben Fielding, Chris Brown, Jason Ingram, and Steven Furtick",,7129060,2026-02-15T10:00:00Z,2026-02-15T10:00:00Z,3,2026-02-15T10:00:00Z,2025-08-17T10:00:00Z,2025-08-03T10:00:00Z,12,Frequent recently,0-30d,,300,4/4,Default Arrangement
28278446,Trust In God,False,"Brandon Lake, Chris Brown, Mitch Wong, and Steven Furtick",,7206001,2026-03-22T10:00:00Z,2026-02-15T10:00:00Z,3,2026-02-15T10:00:00Z,2026-01-04T10:00:00Z,2025-06-22T10:00:00Z,12,Frequent recently,0-30d,74,446,6/8,Elevation Worship
24455843,Your Love Never Fails,False,Anthony Skinner and Chris McClarney,"chrsistmas, Sustainer, Love, ",5337172,2026-02-15T10:00:00Z,2026-02-15T10:00:00Z,3,2026-02-15T10:00:00Z,2025-08-31T10:00:00Z,2024-04-28T10:00:00Z,12,Frequent recently,0-30d,,300,4/4,Default Arrangement
11689159,Found In You,False,Paul Baloche and Andi Rozier,,7005969,2026-02-08T10:00:00Z,2026-02-08T10:00:00Z,3,2026-02-08T10:00:00Z,2026-01-04T10:00:00Z,2025-10-05T10:00:00Z,19,Frequent recently,0-30d,118,300,,Default Arrangement
